,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2018-11-14,00:00:00,,,,,,
1,02t,2018-11-14,01:00:00,,,,,,
2,02t,2018-11-14,02:00:00,,,,,,
3,02t,2018-11-14,03:00:00,,,,,,
4,02t,2018-11-14,04:00:00,,,,,,
5,02t,2018-11-14,05:00:00,,,,,,
6,02t,2018-11-14,06:00:00,,,,,,
7,02t,2018-11-14,07:00:00,,,,,,
8,02t,2018-11-14,08:00:00,,,,,,
9,02t,2018-11-14,09:00:00,,,,,,
10,02t,2018-11-14,10:00:00,,,,,,
11,02t,2018-11-14,11:00:00,,,,,,
12,02t,2018-11-14,12:00:00,,,,,,
13,02t,2018-11-14,13:00:00,,,,,,
14,02t,2018-11-14,14:00:00,,,,,,
15,02t,2018-11-14,15:00:00,,,,,,
16,02t,2018-11-14,16:00:00,,,,,,
17,02t,2018-11-14,17:00:00,,,,,,
18,02t,2018-11-14,18:00:00,,,,,,
19,02t,2018-11-14,19:00:00,,,,,,
20,02t,2018-11-14,20:00:00,,,,,,
21,02t,2018-11-14,21:00:00,,,,,,
22,02t,2018-11-14,22:00:00,,,,,,
23,02t,2018-11-14,23:00:00,,,,,,
24,03t,2018-11-14,00:00:00,71.0,164.0,3.0,1.94,53.0,
25,03t,2018-11-14,01:00:00,89.0,155.0,1.0,1.5,43.0,
26,03t,2018-11-14,02:00:00,91.0,131.0,1.0,1.37,40.0,
27,03t,2018-11-14,03:00:00,83.0,133.0,1.0,1.32,32.0,
28,03t,2018-11-14,04:00:00,72.0,143.0,,,,
29,03t,2018-11-14,05:00:00,65.0,118.0,1.0,1.39,41.0,
30,03t,2018-11-14,06:00:00,68.0,134.0,1.0,1.81,39.0,
31,03t,2018-11-14,07:00:00,82.0,190.0,1.0,1.69,36.0,
32,03t,2018-11-14,08:00:00,80.0,162.0,5.0,1.3,45.0,
33,03t,2018-11-14,09:00:00,62.0,109.0,17.0,0.91,32.0,
34,03t,2018-11-14,10:00:00,46.0,71.0,28.0,0.81,21.0,
35,03t,2018-11-14,11:00:00,32.0,63.0,36.0,0.84,25.0,
36,03t,2018-11-14,12:00:00,30.0,63.0,8.0,1.23,73.0,
37,03t,2018-11-14,13:00:00,37.0,136.0,6.0,1.16,70.0,
38,03t,2018-11-14,14:00:00,48.0,143.0,9.0,1.13,67.0,
39,03t,2018-11-14,15:00:00,46.0,96.0,6.0,1.29,77.0,
40,03t,2018-11-14,16:00:00,44.0,94.0,7.0,1.31,74.0,
41,03t,2018-11-14,17:00:00,52.0,107.0,4.0,1.37,75.0,
42,03t,2018-11-14,18:00:00,53.0,122.0,1.0,1.52,67.0,
43,03t,2018-11-14,19:00:00,59.0,113.0,1.0,1.68,62.0,
44,03t,2018-11-14,20:00:00,69.0,134.0,2.0,1.64,57.0,
45,03t,2018-11-14,21:00:00,71.0,145.0,1.0,1.58,52.0,
46,03t,2018-11-14,22:00:00,71.0,131.0,1.0,1.45,51.0,
47,03t,2018-11-14,23:00:00,62.0,97.0,4.0,1.06,55.0,
48,05t,2018-11-14,00:00:00,57.0,101.0,3.0,1.45,42.0,2.0
49,05t,2018-11-14,01:00:00,44.0,87.0,4.0,1.29,42.0,2.0
50,05t,2018-11-14,02:00:00,50.0,77.0,3.0,1.24,46.0,2.0
51,05t,2018-11-14,03:00:00,42.0,80.0,3.0,1.06,42.0,2.0
